Jkn;Kohanimi;Keel;Kohanime staatus;Kohanime olek;Nimeobjekti liik;Lisainfo;Maakond,omavalitsus,asustusüksus;X;Y;
81;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Tealama küla;6525187.23;657205.31;
82;Karli-Jaani;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Pärnu linn, Kiraste küla;6480430.18;498422.4;
83;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Tori vald, Pärivere küla;6485583.08;532918.77;
84;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Oru küla;6540918.51;483776.16;
85;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kose vald, Ardu alevik;6552036.01;577346.68;
86;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Nõva küla;6564323.65;480525.46;
87;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Järva maakond, Türi vald, Arkma küla;6503288.99;593161.43;
88;Karla;eesti;ametlik põhinimi;kehtiv;Bussi-, trammi-, trolli-, taksopeatus;;Harju maakond, Kose vald, Karla küla;6559204.85;564326.4;
89;Karlsoni;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Raasiku vald, Kulli küla;6583694.29;556618.51;
90;Karl Johani;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Lääneranna vald, Kidise küla;6482281.07;495506.27;
91;Karla viadukt;eesti;mitteametlik esikohanimi;kehtiv;sild;;Harju maakond, Kose vald, Kuivajõe küla;6561064.92;563861.59;
92;Karlova linnaosa;eesti;mitteametlik esikohanimi;kehtiv;mitteametlik linnaosa;;Tartu maakond, Tartu linn, Tartu linn;6472615.06;660078.3;
93;Karlova kool;eesti;mitteametlik esikohanimi;kehtiv;Bussi-, trammi-, trolli-, taksopeatus;;Tartu maakond, Tartu linn, Tartu linn;6473395.27;659876;
94;Karlhansu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Saku vald, Jälgimäe küla;6576261.96;535540.6;
95;Karlimetsa;eesti;ametlik põhinimi;kehtiv;Bussi-, trammi-, trolli-, taksopeatus;;Harju maakond, Lääne-Harju vald, Nahkjala küla;6567303.9;515956.2;
96;Karla-Tabase;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kose vald, Krei küla;6566424.16;563824.01;
97;Karlipõllu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Viljandi maakond, Mulgi vald, Saate küla;6435124.09;585345.11;
98;Karlsbergi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Viljandi maakond, Mulgi vald, Saate küla;6434963.8;585810.63;
99;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Rapla maakond, Kehtna vald, Kalbu küla;6530007.06;550161.73;
100;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Virita küla;6471204.89;385624.84;
101;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Pajumõisa küla;6472974.77;387468.59;
102;Karla-Kõrtsu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Harku vald, Liikva küla;6587492.64;523910.59;
103;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Anija vald, Rooküla;6568701.02;575508.41;
104;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Antsla vald, Kaika küla;6405148.57;651692.57;
105;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Vilina küla;6518436.52;643470.36;
106;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Pärnu linn, Lemmetsa küla;6475583.28;522415.88;
107;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Laadjala küla;6463595.73;413555.44;
108;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Paimala küla;6460838.78;418059.27;
109;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Kadrina vald, Vaiatu küla;6583248.51;614043.98;
110;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Alutaguse vald, Kaatermu küla;6564405.4;703839.15;
111;Karl-Josepi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Kadrina vald, Kadapiku küla;6581077.44;622308.9;
112;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Vaivere küla;6460074.14;416314.48;
113;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Muratsi küla;6457356.12;417776.36;
114;Karlipõllu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Kadrina vald, Tirbiku küla;6580570.28;626053.99;
115;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Järva maakond, Järva vald, Jalgsema küla;6555366.82;608742.57;
116;Karliaia;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Võduvere küla;6516749.58;641621.59;
117;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Jõelähtme vald, Haljava küla;6587192.62;566361.46;
118;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Vaivere küla;6460039.9;418201.71;
119;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Muratsi küla;6456752.6;418565.46;
120;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Jõhvi vald, Pajualuse küla;6580231.54;692968.46;
121;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Võru vald, Andsumäe küla;6409503.77;689333.69;
122;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Aula-Vintri küla;6472428.64;406250.78;
123;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Saareküla;6477350.46;449186.77;
124;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kuusalu vald, Rummu küla;6590654.38;575672.81;
125;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kuusalu vald, Kodasoo küla;6589389.92;572637.68;
126;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Ubasalu küla;6526088.5;500239.99;
127;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Kullamaa küla;6525193.07;504941.25;
128;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Hiiu maakond, Hiiumaa vald, Kleemu küla;6518426.94;423312.95;
129;Karlapõllu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Vinni vald, Venevere küla;6543039.29;656305.79;
130;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Saue vald, Kabila küla;6564751.56;524186.64;
131;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Vilsandi küla;6473717.23;377678.14;
132;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Vinni vald, Venevere küla;6544547.12;655394.03;
133;Karlssoni;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Hiiu maakond, Hiiumaa vald, Männamaa küla;6525162.08;422104.43;
134;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Virita küla;6472033.08;385597.46;
135;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Pajumõisa küla;6473047.19;387492.58;
136;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Sauvere küla;6475647.9;401042.42;
137;Karlsoni;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Lääneranna vald, Kunila küla;6497892.65;487273.57;
138;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Hiiu maakond, Hiiumaa vald, Rootsi küla;6541524.84;414149.21;
139;Karlimetsa;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Rapla maakond, Märjamaa vald, Teenuse küla;6521333.7;507939.45;
140;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Luunja vald, Sava küla;6476316.13;673254.66;
141;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Luunja vald, Sääsekõrva küla;6475982.83;672811.72;
142;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Hiiu maakond, Hiiumaa vald, Nõmmerga küla;6526561.19;418581.01;
143;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Mändjala küla;6453509.78;400433.66;
144;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Muhu vald, Laheküla;6488344.71;456826.61;
145;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Selgase küla;6478287.83;393224.81;
146;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Rõuge vald, Savioja küla;6392415.26;690385.44;
147;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Nõo vald, Voika küla;6460770.06;646632.28;
148;Karl-Hendriku;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Järva maakond, Türi vald, Raukla küla;6514715.97;588224.04;
149;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Raadivere küla;6506373.32;647141.14;
150;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Elva vald, Urmi küla;6446163.28;637953.2;
151;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Saduküla;6506155.67;632278.49;
152;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Peipsiääre vald, Metsanurga küla;6510126.66;676465.51;
153;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Sudiste küla;6500713.78;651137.45;
154;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Viljandi maakond, Mulgi vald, Sudiste küla;6442012.14;597038.07;
155;Karljärve;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Valga maakond, Otepää vald, Kaurutootsi küla;6429008.29;647430.72;
156;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Valga maakond, Otepää vald, Mägestiku küla;6440154.5;640891.43;
157;Karl-Augusti;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Valga maakond, Otepää vald, Pedajamäe küla;6438993.18;642436.38;
158;Karli-Kase;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Põltsamaa vald, Väike-Kamari küla;6496816.65;613646.48;
159;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Põltsamaa vald, Lebavere küla;6497007;604679.63;
160;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Põltsamaa vald, Võhmanõmme küla;6503775.1;616772.16;
161;Karluti;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Rapla maakond, Rapla vald, Oela küla;6545170.11;539216.58;
162;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Põlva maakond, Räpina vald, Naha küla;6453224.19;701882.04;
163;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Pärnu maakond, Saarde vald, Ilvese küla;6451281.35;541657.66;
164;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Viljandi maakond, Viljandi vald, Mõnnaste küla;6465587.15;607917.78;
165;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Tartu vald, Õvi küla;6483769.11;647661.27;
166;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Vidruka küla;6541320.89;495634.08;
167;Karli-Aadu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Tartu vald, Raigastvere küla;6496688.89;653517.44;
168;Karli-Aadu;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Tartu vald, Õvanurme küla;6495441.78;653784.34;
